Tick;NoteOffs;NoteOns;Polyphony;Time(seconds);Tempo
-1;0;0;0;0;0
0;0;0;0;0;1040.01
8;0;0;0;0.000480767;2088.05
46080;0;2;2;1.37952;2088.05
46087;0;0;2;1.37973;760.004
53760;2;2;2;2.01073;760.004
61440;2;7;7;2.64231;760.004
72960;5;2;4;3.58967;760.004
74880;2;2;4;3.74757;760.004
76800;4;7;7;3.90546;760.004
91680;0;2;9;5.12914;760.004
92160;7;7;9;5.16861;760.004
92640;2;0;7;5.20808;760.004
97920;2;2;7;5.64229;760.004
103680;2;2;7;6.11598;760.004
107520;7;7;7;6.43176;760.004
115200;7;7;7;7.06334;760.004
122880;7;8;8;7.69492;760.004
130560;2;2;8;8.32649;760.004
138240;8;9;9;8.95807;760.004
149760;2;2;9;9.90543;760.004
151680;2;2;9;10.0633;760.004
153600;9;10;10;10.2212;760.004
161280;10;10;10;10.8528;760.004
168960;10;11;11;11.4844;760.004
